id_municipio,poblacion
Espinosa de los Caballeros,104
Flores de Ávila,262
Fontiveros,715
Fresnedilla,92
"Fresno, El",579
Fuente el Saúz,146
Fuentes de Año,90
Gallegos de Altamiros,61
Gallegos de Sobrinos,42
Garganta del Villar,37
Gavilanes,523
Gemuño,147
Gilbuena,45
Gil García,45
Gimialcón,73
Gotarrendura,173
Grandes y San Martín,34
Guisando,458
Gutierre-Muñoz,63
Hernansancho,140
Herradón de Pinares,526
Herreros de Suso,141
Higuera de las Dueñas,250
"Hija de Dios, La",79
"Horcajada, La",434
Horcajo de las Torres,425
"Hornillo, El",263
Hoyocasero,294
"Hoyo de Pinares, El",2179
Hoyorredondo,57
Hoyos del Collado,28
Hoyos del Espino,350
Hoyos de Miguel Muñoz,24
Hurtumpascual,41
Junciana,40
Langa,441
Lanzahíta,771
"Losar del Barco, El",99
"Llanos de Tormes, Los",57
Madrigal de las Altas Torres,1281
Maello,713
Malpartida de Corneja,89
Mamblas,191
Mancera de Arriba,66
Manjabálago y Ortigosa de Rioalmar,22
Marlín,29
Martiherrero,372
Martínez,109
Mediana de Voltoya,117
Medinilla,79
Mengamuñoz,60
Mesegar de Corneja,62
Mijares,718
Mingorría,422
"Mirón, El",93
Mironcillo,110
Mirueña de los Infanzones,86
Mombeltrán,922
Monsalupe,64
Moraleja de Matacabras,55
Muñana,499
Muñico,77
Muñogalindo,299
Muñogrande,76
Muñomer del Peco,113
Muñopepe,95
Muñosancho,87
Muñotello,50
Narrillos del Álamo,56
Narrillos del Rebollar,34
Narros del Castillo,151
Narros del Puerto,26
Narros de Saldueña,102
Navacepedilla de Corneja,99
Nava de Arévalo,647
Nava del Barco,81
Navadijos,29
Navaescurial,54
Navahondilla,359
Navalacruz,192
Navalmoral,445
Navalonguilla,182
Navalosa,314
Navalperal de Pinares,840
Navalperal de Tormes,73
Navaluenga,2135
Navaquesera,38
Navarredonda de Gredos,451
Navarredondilla,146
Navarrevisca,281
"Navas del Marqués, Las",5670
Navatalgordo,230
Navatejares,48
Neila de San Miguel,66
Niharra,167
Ojos-Albos,89
Orbita,70
"Oso, El",125
Padiernos,277
Pajares de Adaja,123
Palacios de Goda,396
Papatrigo,215
"Parral, El",64
Pascualcobo,38
Pedro Bernardo,743
Pedro-Rodríguez,131
Peguerinos,283
