day,S,I,R,D,Moves
251,129442,2839101,7002657,39142259,1035
252,129388,2809405,6999419,39175354,928
253,129331,2780330,6995617,39208199,1017
254,129278,2751754,6991798,39240680,984
255,129232,2723062,6988312,39272895,993
256,129167,2693963,6985862,39304514,988
257,129101,2664969,6983503,39335953,968
258,129006,2638714,6979085,39366736,953
259,128907,2610992,6975754,39397857,984
260,128813,2582678,6973855,39428162,986
261,128745,2553959,6972621,39458214,955
262,128694,2527923,6968681,39488256,940
263,128663,2502832,6964585,39517459,955
264,128654,2475612,6962577,39546714,937
265,128639,2449359,6959790,39575782,924
266,128611,2423530,6957184,39604178,991
267,128586,2399464,6953030,39632465,949
268,128563,2375222,6949346,39660432,931
269,128536,2350985,6946025,39687981,967
270,128531,2327301,6942420,39715284,958
271,128515,2302520,6940323,39742204,932
272,128499,2278225,6937999,39768832,939
273,128485,2255664,6933633,39795799,913
274,128451,2230823,6932050,39822268,902
275,128422,2206873,6929873,39848358,968
276,128359,2183471,6927533,39874246,885
277,128311,2161278,6924119,39899832,954
278,128267,2139036,6920895,39925328,968
279,128244,2116336,6918564,39950458,892
280,128225,2095406,6915090,39974815,958
281,128198,2074578,6911431,39999412,875
282,128196,2053611,6908217,40023546,924
283,128185,2032599,6905215,40047579,916
284,128178,2011626,6902580,40071178,932
285,128164,1991461,6899329,40094756,784
286,128146,1970543,6897172,40117765,868
287,128127,1948965,6895612,40140839,951
288,128089,1929105,6892969,40163437,894
289,128054,1909608,6890158,40185798,876
290,127998,1888651,6888755,40208199,891
291,127971,1867941,6887446,40230243,893
292,127936,1848026,6885371,40252275,886
293,127917,1828417,6883356,40273958,846
294,127904,1807776,6882778,40295164,872
295,127875,1787811,6881734,40316189,885
296,127829,1769852,6878611,40337295,907
297,127754,1751755,6876160,40357920,905
298,127637,1733596,6873780,40378655,826
299,127467,1714933,6872236,40398985,873
300,127275,1697364,6869907,40419078,870
301,127105,1679719,6867757,40439005,908
302,126973,1661465,6866809,40458425,822
303,126828,1642915,6866050,40477880,821
304,126695,1625777,6864133,40497031,858
305,126602,1608678,6862147,40516202,865
306,126547,1592493,6859494,40535083,877
307,126500,1575210,6858430,40553537,817
308,126459,1559092,6856121,40571945,877
309,126435,1543724,6853591,40589859,885
310,126392,1526864,6852603,40607783,852
311,126352,1511120,6850306,40625884,832
312,126326,1495550,6848509,40643311,798
313,126300,1479729,6846796,40660876,793
314,126279,1464436,6844744,40678209,826
315,126263,1447728,6844338,40695297,868
316,126224,1432923,6842425,40712085,837
317,126184,1418325,6840381,40728771,833
318,126139,1402991,6839301,40745191,872
319,126113,1389104,6836823,40761588,866
320,126064,1374215,6835441,40777941,833
321,126012,1360004,6833528,40794095,855
322,125972,1345864,6831845,40809988,825
323,125953,1331404,6830760,40825561,816
324,125934,1315983,6830519,40841261,797
325,125932,1301969,6829161,40856616,816
326,125924,1287016,6828885,40871829,840
327,125920,1273940,6826899,40886897,838
328,125906,1259888,6826175,40901704,821
329,125897,1246002,6825443,40916357,795
330,125883,1233519,6823237,40931017,838
331,125878,1220138,6822129,40945580,769
332,125862,1207505,6820661,40959664,802
333,125846,1195381,6818728,40973642,897
334,125829,1182464,6817683,40987712,806
335,125801,1170061,6816309,41001543,780
336,125790,1157703,6815019,41015161,821
337,125756,1144904,6814399,41028626,809
338,125716,1133028,6813014,41041917,819
339,125685,1119694,6813348,41054965,802
340,125650,1107802,6812248,41068000,794
341,125622,1096009,6810992,41081113,758
342,125603,1083233,6810778,41094040,840
343,125590,1071987,6809304,41106827,786
344,125585,1060763,6807957,41119349,840
345,125566,1049863,6806550,41131706,809
346,125550,1037978,6806167,41143988,811
347,125537,1026150,6805814,41156216,777
348,125518,1016219,6803832,41168135,790
349,125491,1005008,6803380,41179838,777
350,125468,993630,6803005,41191634,757
351,125450,983505,6801612,41203149,778
352,125431,973159,6800516,41214566,822
353,125427,962974,6799406,41225910,777
354,125397,951777,6799378,41237171,771
355,125369,942008,6798041,41248261,815
356,125344,931862,6797222,41259308,758
357,125279,921892,6796393,41270153,777
358,125245,912035,6795420,41281003,791
359,125224,902009,6794617,41291764,880
360,125200,892635,6793568,41302274,817
361,125192,883211,6792586,41312756,749
362,125173,873763,6791704,41323117,737
363,125168,864270,6790880,41333410,766
364,125150,855360,6789795,41343418,771
